"Initiation","The very beginning of a project where an idea is formed based on a perceived problem or need, and briefly investigated."
"Feasibility Study","A detailed analysis comparing a project's costs against its benefits to determine if the idea is justified given constrained resources."
"Proposal Preparation","Creating a document to sell the customer on an idea and form a contract by detailing what the contractor will do."
"User Requirements","Detailed specifications outlining exactly what the people using the system will need."
"System Specifications","The detailed requirements outlining how the system itself must function."
"Project Master Plan","A defined plan outlining how the project will produce the end-item and deliver on requirements."
"Design","The stage in the execution phase where the project's technical designs and development are planned."
"Production/Build","The stage where the actual construction, fabrication, or procurement of the project takes place."
"Implementation","The stage involving training, running acceptance tests, and installing the final system."
"Termination","The stage that closes out the execution phase once the initial project work and installation are finished."
"Maintenance","Keeping the system functioning properly while the customer operates it."
"Evaluation","Assessing the system's performance and value during its operational life."
"System Improvement","Enhancing or replacing parts of a system to keep it useful and alive."
"System Termination","The stage where a human-made system reaches the end of its life and is retired."
"Client/Customer","The party who pays for the project and outlines the needs that must be met."
"User","The party that actually operates or benefits from the project's final product."
"System Development Organization (SDO)","The contractor, consultant, or developer who performs the project work for the customer."
"Statement of Work (SOW)","A section of an RFP describing the problem, scope of work, and requirements for the end results."
"Proposal Requirements","Rules in an RFP that dictate the format, necessary data, and deadlines for submitting a proposal."
"Contractual Provisions","Details specifying the type of contract to be awarded, such as fixed-price or cost-plus."
"Business Case","A document resulting from a feasibility study used to convince the customer to authorize and undertake the project."
"Cost-Benefit Analysis","A breakdown comparing the estimated costs of doing the project versus the expected outcomes or benefits."
"Environmental Impact","An assessment of how the project might affect air, soil, wildlife, and historical resources."
"Sustainability","Guidelines for environmental responsibility, like using renewable materials or reducing landfill waste."
"Executive Summary","A standard section of a proposal providing a high-level overview of the document."
"Technical Section","The part of the proposal addressing the Statement of Work and technical details."
"Management Section","The part of the proposal outlining the contractor's qualifications and management approach."
"Negotiation","A meeting between the customer and SDO to clarify terms and agree on requirements, schedule, and price."
"Fixed Price","A contract where the customer pays a set price, no matter how much the contractor ends up spending."
"Cost-Plus","A contract where the customer pays for all project costs incurred, plus an additional fee for the contractor."
"Incentive","A contract offering bonuses if the contractor beats performance targets, or penalties if they fall short."
"Phased Planning","Breaking massive projects into phases that require separate justification and approval before moving forward."
"Fast-tracking","Overlapping project phases to shorten the schedule, though it increases the risk of mistakes."
