"Goal-oriented","Aims at a specific end result or deliverables."
"Unique and non-routine","Involves something new or different, making it somewhat unfamiliar and risky."
"Cross-functional","Involves cross-disciplinary and cross-organizational teamwork."
"Time and resource constrained","Follows a logical sequence or progression of phases or stages with limited resources."
"Temporary","Has a target completion date and a target cost."
"Novelty","Measures newness to the market, ranging from derivative to breakthrough."
"Technology","Measures technological uncertainty, ranging from low-tech to super-high tech."
"Complexity","Measures system scope, ranging from array to regular."
"Pace","Measures urgency, ranging from regular to blitz."
"Simple: Management to accomplish goals","Management to accomplish project goals."
"Cynical: art of creating illusion of deliberate acts","The art of creating the illusion that any outcome is the result of a series of predetermined, deliberate acts when in fact it was dumb luck."
"Long: Define and execute complex systems","Management to define and execute everything necessary to complete a complex system of tasks by a target date and with constrained resources."
"Project Manager","The person with overall responsibility to plan, direct, and integrate the efforts of stakeholders to achieve the project goal."
"Project Team","Individuals and groups brought together and directed toward a common goal."
"Project Methodology","The logical sequence or progression of phases that provides for integrative planning and control."
"Successful: time, budget, and scope","A project that finishes on time, within budget, and with the committed scope."
"Challenged: Late, overbudget or lacking scope","A project that is late, overbudget, or lacking key scope."
"Failed: Cancelled or never implemented","A project that is canceled before completion or never implemented."
"66% IT projects fail","The percentage of major IT projects that fail according to the 2003 Chaos Report."
"43% average cost overrun","The average cost overrun experienced by IT projects."
"82% schedule overrun","The percentage of IT projects that experience a schedule overrun."
"Project Management Failure (targets)","Failure of the project to meet time and cost targets, even if the end result performs well."
"Project Failure (not meeting requirements)","Failure of the project end-item to provide stakeholders with what was promised or expected."
"Pyramids","An ancient historical structure showing that evidence of projects is everywhere."
"Great Wall of China","An ancient structure serving as evidence that projects are everywhere."
"International Space Station","A modern example of a complex, large-scale project undertaken by NASA."
"Millennium Park: $150m to $475m","A Chicago project that had an initial cost target of $150 million but actually cost $475 million."
"Greenpoint Stadium: R1.2b to R4.4b","A 2010 World Cup stadium whose initial estimate of R1.2 billion rose to a final price of R4.4 billion."
"Gautrain: R7b to R26.2b","A transit project with pre-construction estimates around R7 billion that ultimately had a final construction cost of R26.2 billion."
"Inadequate requirements","A typical reason for project failure where the needs of the project are not properly defined."
"Changing priorities","A reason for project failure or overruns due to the shifting priorities of the customer or management."
"Insufficient resources","A reason for project failure where not enough resources are allocated."
"Inexperienced managers","Project failure resulting from an inexperienced project manager and/or team."
"Weather / problems","Typical reasons for overruns including weather conditions and intractable technical problems."
